Wallet loaded: EpG25pVadjQ9M9NHJMXZ...
📊 Monitoring COPE (DYNAMIC TP/SL)...
  SL: $0.00177195
  TP1: $0.00193636 (50% exit)
  TP2: $0.00200409 (final exit)
  Max Hold: 180 min
1:02:40 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 102m left
1:02:45 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 102m left
1:02:50 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 102m left
1:02:55 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 102m left
1:03:00 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 102m left
1:03:05 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 102m left
1:03:11 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 101m left
1:03:16 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 101m left
1:03:21 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 101m left
1:03:26 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 101m left
1:03:31 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 101m left
1:03:36 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 101m left
1:03:41 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 101m left
1:03:46 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 101m left
1:03:52 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 101m left
1:03:57 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 101m left
1:04:02 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 101m left
1:04:07 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 101m left
1:04:12 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 100m left
1:04:17 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 100m left
1:04:22 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 100m left
1:04:27 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 100m left
1:04:33 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 100m left
1:04:38 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 100m left
1:04:43 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 100m left
1:04:48 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 100m left
1:04:53 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 100m left
1:04:58 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 100m left
1:05:03 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 100m left
1:05:09 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 100m left
1:05:14 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 99m left
1:05:19 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 99m left
1:05:24 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 99m left
1:05:29 AM | COPE: $0.00188500 | PnL: 0.00% | Hold: 99m left
